name,lr,gamma,n_steps,ent_coef,vf_coef,net_arch,algorithm,mean_reward,std_reward,training_time_s
a2c_baseline,0.0007,0.99,5,0.01,0.5,"[128, 128]",A2C,-2.1,21.22710531372566,141.4521815776825
a2c_high_lr,0.001,0.99,5,0.01,0.5,"[128, 128]",A2C,-0.75,18.278060619223254,140.83406329154968
a2c_low_lr,0.0001,0.99,5,0.01,0.5,"[128, 128]",A2C,-12.2,10.94805918873295,140.98952627182007
a2c_low_gamma,0.0007,0.9,5,0.01,0.5,"[128, 128]",A2C,-0.175,21.583717821543164,140.967511177063
a2c_high_gamma,0.0007,0.999,5,0.01,0.5,"[128, 128]",A2C,-0.35,21.452913555039558,140.17678213119507
a2c_long_rollout,0.0007,0.99,20,0.01,0.5,"[128, 128]",A2C,-12.55,2.376446927663229,104.05999565124512
a2c_high_entropy,0.0007,0.99,5,0.05,0.5,"[128, 128]",A2C,-13.0,6.648308055437865,141.72041201591492
a2c_no_entropy,0.0007,0.99,5,0.0,0.5,"[128, 128]",A2C,-13.5,2.3345235059857505,141.0529751777649
a2c_high_vf,0.0007,0.99,5,0.01,1.0,"[128, 128]",A2C,-14.25,3.5759614091877445,140.95836734771729
a2c_deep_net,0.0007,0.99,5,0.01,0.5,"[256, 256, 128]",A2C,-12.15,8.804970187343056,152.17989778518677
a2c_wide_net,0.0007,0.99,5,0.01,0.5,"[512, 256]",A2C,-12.25,5.127133702177075,141.50847339630127
a2c_medium_rollout,0.0007,0.99,10,0.01,0.5,"[128, 128]",A2C,-8.45,12.920816537665104,116.5098249912262
